referrer,views_total,views_unique
github.com,10066,5487
Google,4873,3558
agpt.co,3547,2097
chatgpt.com,938,506
Bing,483,283
aixploria.com,237,155
doubao.com,188,103
futurepedia.io,158,106
medium.com,142,79
linkedin.com,141,80
